Stock,Year,Recruits,Spawners
Stock9,1991,0.865206,1.255791
Stock9,1992,0.019909,0.012996
Stock9,1993,0.015343,0.001367
Stock9,1994,2.607292,1.370677
Stock9,1995,0.771116,0.428875
Stock9,1996,0.061102,0.012466
Stock9,1997,0.034429,0.001072
Stock9,1998,7.162244,1.389271
Stock9,1999,0.698802,0.34354
Stock9,2000,0.001388,0.000855
Stock9,2001,0.007698,0.004858
Stock9,2002,7.441039,5.532263
Stock9,2003,0.132424,0.381278
Stock9,2004,0.001935,0.002994
Stock9,2005,0.032714,0.021113
Stock9,2006,17.49356711,1.43832
Stock9,2007,0.210359,0.061043
Stock9,2008,0.009168,0.000164
Stock9,2009,0.378538,0.032481
Stock9,2010,8.573809,7.519018
Stock9,2011,NA,0.165695
Stock9,2012,NA,0.000012
Stock9,2013,NA,0.152981
Stock9,2014,NA,2.208068
Stock9,2015,NA,0.009688
Stock10,1948,0.19199,0.083787
Stock10,1949,0.237158,0.070504
Stock10,1950,0.214749,0.06444
Stock10,1951,0.173801,0.021296
Stock10,1952,0.213941,0.047041
Stock10,1953,0.118877,0.042491
Stock10,1954,0.146171,0.018213
Stock10,1955,0.228353,0.014553
Stock10,1956,0.251198,0.049754
Stock10,1957,0.042835,0.014536
Stock10,1958,0.086069,0.015166
Stock10,1959,0.225156,0.026159
Stock10,1960,0.130133,0.036838
Stock10,1961,0.084468,0.031681
Stock10,1962,0.074421,0.026369
Stock10,1963,0.330206,0.048893
Stock10,1964,0.311035,0.048908
Stock10,1965,0.123803,0.01623
Stock10,1966,0.216335,0.020116
Stock10,1967,0.411254,0.039876
Stock10,1968,0.253589,0.057947
Stock10,1969,0.690379,0.037382
Stock10,1970,0.562013,0.030656
Stock10,1971,0.292244,0.024629
Stock10,1972,0.471597,0.054516
Stock10,1973,0.165326,0.056653
Stock10,1974,0.632171,0.119637
Stock10,1975,0.099592,0.061538
Stock10,1976,0.563748,0.077305
Stock10,1977,0.385146,0.023845
Stock10,1978,0.610757,0.094782
Stock10,1979,0.39476,0.060988
Stock10,1980,0.151776,0.078613
Stock10,1981,0.261609,0.049023
Stock10,1982,1.752826,0.119738
Stock10,1983,0.77508,0.044029
Stock10,1984,0.43436,0.040245
Stock10,1985,0.216306,0.011905
Stock10,1986,1.184529,0.33563
Stock10,1987,0.977898,0.164849
Stock10,1988,0.865447,0.166591
Stock10,1989,1.109139,0.029334
Stock10,1990,0.225375,0.166773
Stock10,1991,0.117016,0.293626
Stock10,1992,0.094224,0.185908
Stock10,1993,0.56037,0.244954
Stock10,1994,0.062585,0.039234
Stock10,1995,0.170018,0.039871
Stock10,1996,0.075613,0.056112
Stock10,1997,0.028365,0.050202
Stock10,1998,0.616344,0.295669
Stock10,1999,0.083338,0.048916
Stock10,2000,0.101313,0.013842
Stock10,2001,0.191618,0.04445
Stock10,2002,0.632516,0.21890224
Stock10,2003,0.013074,0.309878
Stock10,2004,0.076353,0.037617
Stock10,2005,0.084303,0.053546
Stock10,2006,0.435995,0.266459
Stock10,2007,0.242857,0.09348
Stock10,2008,0.069067,0.0195
Stock10,2009,0.132713,0.053977
Stock10,2010,0.03198,0.128285
Stock10,2011,NA,0.227742
Stock10,2012,NA,0.055321
Stock10,2013,NA,0.080085
Stock10,2014,NA,0.035548
Stock10,2015,NA,0.0449731
Stock11,1948,0.039076,0.012746
Stock11,1949,0.037489,0.009055
Stock11,1950,0.101664,0.029928
Stock11,1951,0.17057,0.012677
Stock11,1952,0.044265,0.017833
Stock11,1953,0.063172,0.011543
Stock11,1954,0.063564,0.022036
Stock11,1955,0.275674,0.025922
Stock11,1956,0.036232,0.013718
Stock11,1957,0.027988,0.020375
Stock11,1958,0.047366,0.013324
Stock11,1959,0.05208,0.047779
Stock11,1960,0.02302,0.01764
Stock11,1961,0.005954,0.013396
Stock11,1962,0.035483,0.026997
Stock11,1963,0.134623,0.020303
Stock11,1964,0.069246,0.011067
Stock11,1965,0.019606,0.002455
Stock11,1966,0.040514,0.016919
Stock11,1967,0.102785,0.033198
Stock11,1968,0.042418,0.025314
Stock11,1969,0.005031,0.005942
Stock11,1970,0.044947,0.013941
Stock11,1971,0.048028,0.009128
Stock11,1972,0.030023,0.010366
Stock11,1973,0.000669,0.000641
Stock11,1974,0.029657,0.008984
Stock11,1975,0.122507,0.011349
Stock11,1976,0.006109,0.004435
Stock11,1977,0.001457,0.000082
Stock11,1978,0.069111,0.005076
Stock11,1979,0.108244,0.032031
Stock11,1980,0.004639,0.001657
Stock11,1981,0.000965,0.000256
Stock11,1982,0.017948,0.016725
Stock11,1983,0.095903,0.019944
Stock11,1984,0.009106,0.000994
Stock11,1985,0.002102,0.000424
Stock11,1986,0.010278,0.003256
Stock11,1987,0.065836,0.032184
Stock11,1988,0.007726,0.000861
Stock11,1989,0.010741,0.000418
Stock11,1990,0.024567,0.00186
Stock11,1991,0.017355,0.020157
Stock11,1992,0.001813,0.001203
Stock11,1993,0.000934,0.001063
Stock11,1994,0.002441,0.004399
Stock11,1995,0.014536,0.010316
Stock11,1996,0.001503,0.002022
Stock11,1997,0.000717,0.000088
Stock11,1998,0.006025,0.001959
Stock11,1999,0.002843,0.012392
Stock11,2000,0.00008,0.001227
Stock11,2001,0.000212,0.000515
Stock11,2002,0.00511,0.004873
Stock11,2003,0.000716,0.001939
Stock11,2004,0.001207,0.000052
Stock11,2005,0.000906,0.000112
Stock11,2006,0.020472,0.003509
Stock11,2007,0.012413,0.000538
Stock11,2008,0.001936,0.00034
Stock11,2009,0.002639,0.000705
Stock11,2010,0.016106,0.009669
Stock11,2011,NA,0.006948
Stock11,2012,NA,0.000835
Stock11,2013,NA,0.002106
Stock11,2014,NA,0.004378
Stock11,2015,NA,0.001113
Stock12,1965,0.003308,0.000981
Stock12,1966,0.031007,0.031343
Stock12,1967,0.004119,0.004025
Stock12,1968,0.001046,0.000086
Stock12,1969,0.030743,0.000963
Stock12,1970,0.056751,0.003873
Stock12,1971,0.015812,0.000281
Stock12,1972,0.013156,0.00019
Stock12,1973,0.080696,0.003963
Stock12,1974,0.040966,0.008475
Stock12,1975,0.014926,0.003175
Stock12,1976,0.007097,0.001042
Stock12,1977,0.039221,0.00761
Stock12,1978,0.10433,0.009978
Stock12,1979,0.052156,0.003575
Stock12,1980,0.011476,0.0018
Stock12,1981,0.016505,0.005855
Stock12,1982,0.209321,0.023867
Stock12,1983,0.036858,0.007747
Stock12,1984,0.049576,0.00171
Stock12,1985,0.023997,0.001765
Stock12,1986,0.071339,0.014291
Stock12,1987,0.061873,0.00682
Stock12,1988,0.020694,0.00105
Stock12,1989,0.195614,0.0079
Stock12,1990,0.05097,0.018336
Stock12,1991,0.015829,0.012053
Stock12,1992,0.016087,0.002706
Stock12,1993,0.173802,0.01976
Stock12,1994,0.127647,0.00927
Stock12,1995,0.037977,0.007875
Stock12,1996,0.085187,0.003422
Stock12,1997,0.041181,0.009766
Stock12,1998,0.017678,0.025179
Stock12,1999,0.008951,0.006264
Stock12,2000,0.012743,0.001269
Stock12,2001,0.018585,0.00315
Stock12,2002,0.048183,0.014953
Stock12,2003,0.004835,0.00494
Stock12,2004,0.005688,0.001287
Stock12,2005,0.00252,0.012082
Stock12,2006,0.172441,0.018882
Stock12,2007,0.00282,0.001699
Stock12,2008,0.000365,0.000097
Stock12,2009,0.011966,0.001773
Stock12,2010,0.08888,0.05787
Stock12,2011,NA,0.001114
Stock12,2012,NA,0.000025
Stock12,2013,NA,0.007327
Stock12,2014,NA,0.024275
Stock12,2015,NA,0.000036
Stock13,1966,0.075454,0.019489
Stock13,1967,0.085709,0.022581
Stock13,1968,0.152402,0.003799
Stock13,1969,0.409882,0.058727
Stock13,1970,0.376646,0.010435
Stock13,1971,0.141943,0.00499
Stock13,1972,0.342703,0.025738
Stock13,1973,0.269481,0.048541
Stock13,1974,0.278975,0.064093
Stock13,1975,0.166938,0.029736
Stock13,1976,0.295026,0.049932
Stock13,1977,0.232768,0.052627
Stock13,1978,1.355323,0.075171
Stock13,1979,0.139784,0.045026
Stock13,1980,0.361547,0.07383
Stock13,1981,0.267384,0.042002
Stock13,1982,1.496883,0.294083
Stock13,1983,0.237617,0.039341
Stock13,1984,0.627311,0.059602
Stock13,1985,0.068199,0.037019
Stock13,1986,0.042659,0.110738
Stock13,1987,0.21992,0.059968
Stock13,1988,0.510599,0.049257
Stock13,1989,0.754161,0.017167
Stock13,1990,0.628765,0.016377
Stock13,1991,0.065285,0.038124
Stock13,1992,0.752533,0.058686
Stock13,1993,0.500205,0.084456
Stock13,1994,0.715875,0.064956
Stock13,1995,0.266329,0.033125
Stock13,1996,0.383186,0.07207
Stock13,1997,0.215987,0.025504
Stock13,1998,0.566709,0.057091
Stock13,1999,0.246911,0.034634
Stock13,2000,0.113743,0.006613
Stock13,2001,0.196033,0.019915
Stock13,2002,0.242509,0.101033
Stock13,2003,0.188776,0.049488
Stock13,2004,0.11097,0.025379
Stock13,2005,0.065035,0.048516
Stock13,2006,0.24565,0.039781
Stock13,2007,0.33148,0.0373
Stock13,2008,0.063052,0.002756
Stock13,2009,0.230312,0.035556
Stock13,2010,0.126996,0.059897
Stock13,2011,NA,0.072569
Stock13,2012,NA,0.000918
Stock13,2013,NA,0.035537
Stock13,2014,NA,0.024646
Stock13,2015,NA,0.0569841
Stock14,1967,0.015201,0.000916
Stock14,1968,0.015015,0.000954
Stock14,1969,0.000881,0.000052
Stock14,1970,0.00074,0.000009
Stock14,1971,0.016226,0.001293
Stock14,1972,0.028398,0.001931
Stock14,1973,0.001106,0.000201
Stock14,1974,0.000536,0.00014
Stock14,1975,0.060984,0.004005
Stock14,1976,0.021358,0.00409
Stock14,1977,0.00913,0.000355
Stock14,1978,0.00223,0.000107
Stock14,1979,0.014229,0.015507
Stock14,1980,0.03597,0.008437
Stock14,1981,0.003947,0.002076
Stock14,1982,0.010828,0.001132
Stock14,1983,0.03825,0.004977
Stock14,1984,0.047064,0.011021
Stock14,1985,0.031826,0.001598
Stock14,1986,0.034206,0.006024
Stock14,1987,0.076448,0.016633
Stock14,1988,0.048647,0.027102
Stock14,1989,0.019454,0.003988
Stock14,1990,0.022357,0.011862
Stock14,1991,0.011384,0.020554
Stock14,1992,0.050263,0.009357
Stock14,1993,0.041822,0.007703
Stock14,1994,0.012987,0.00593
Stock14,1995,0.036748,0.011249
Stock14,1996,0.012943,0.03272
Stock14,1997,0.006145,0.00911
Stock14,1998,0.013115,0.00875
Stock14,1999,0.042896,0.00571
Stock14,2000,0.059953,0.010465
Stock14,2001,0.011861,0.00586
Stock14,2002,0.075908,0.007331
Stock14,2003,0.013348,0.009218
Stock14,2004,0.007657,0.002763
Stock14,2005,0.001533,0.004304
Stock14,2006,0.030699,0.011482
Stock14,2007,0.00522,0.011403
Stock14,2008,0.00858,0.00227
Stock14,2009,0.0086,0.00117
Stock14,2010,0.027986,0.010808
Stock14,2011,NA,0.009988
Stock14,2012,NA,0.001967
Stock14,2013,NA,0.003471
Stock14,2014,NA,0.011451
Stock14,2015,NA,0.00142
Stock15,1980,0.001532,0.000107
Stock15,1981,0.025296,0.018952
Stock15,1982,0.109375,0.004709
Stock15,1983,0.002632,0.000239
Stock15,1984,0.002613,0.000409
Stock15,1985,0.042541,0.003385
Stock15,1986,0.257059,0.026624
Stock15,1987,0.030395,0.002089
Stock15,1988,0.00332,0.00106
Stock15,1989,0.01615,0.007236
Stock15,1990,0.315892,0.083388
Stock15,1991,0.025681,0.009954
Stock15,1992,0.002453,0.002156
Stock15,1993,0.011827,0.008359
Stock15,1994,0.184255,0.07318
Stock15,1995,0.014165,0.014772
Stock15,1996,0.004148,0.004609
Stock15,1997,0.002249,0.003085
Stock15,1998,0.193542,0.035981
Stock15,1999,0.026423,0.004093
Stock15,2000,0.04121,0.003765
Stock15,2001,0.017024,0.002449
Stock15,2002,0.691053,0.101269
Stock15,2003,0.001681,0.005089
Stock15,2004,0.003912,0.000783
Stock15,2005,0.005778,0.004163
Stock15,2006,1.035068326,0.144199
Stock15,2007,0.049682996,0.008272
Stock15,2008,0.005405,0.000654
Stock15,2009,0.047437,0.004672
Stock15,2010,NA,0.522367
Stock15,2011,NA,0.033807
Stock15,2012,NA,0.002005
Stock15,2013,NA,0.023867
Stock15,2014,NA,0.1351
Stock15,2015,NA,0.006614
Stock16,1968,0.078774,0.010113
Stock16,1969,0.003724,0.000777
Stock16,1970,0.000154,0.000078
Stock16,1971,0.007721,0.000426
Stock16,1972,0.128433,0.008323
Stock16,1973,0.013241,0.000795
Stock16,1974,0.001413,0.00007
Stock16,1975,0.015888,0.001982
Stock16,1976,0.070185,0.017133
Stock16,1977,0.02002,0.002582
Stock16,1978,0.001058,0.000258
Stock16,1979,0.015902,0.003828
Stock16,1980,0.077848,0.025088
Stock16,1981,0.017352,0.00467
Stock16,1982,0.00634,0.00093
Stock16,1983,0.026556,0.007384
Stock16,1984,0.136133,0.028899
Stock16,1985,0.125622,0.004578
Stock16,1986,0.021,0.003572
Stock16,1987,0.02615,0.009417
Stock16,1988,0.309753,0.044913
Stock16,1989,0.047315,0.016963
Stock16,1990,0.014784,0.005374
Stock16,1991,0.020443,0.00904
Stock16,1992,0.183794,0.041747
Stock16,1993,0.066967,0.017952
Stock16,1994,0.033549,0.003411
Stock16,1995,0.021489,0.007181
Stock16,1996,0.197587,0.099998
Stock16,1997,0.012667,0.006498
Stock16,1998,0.004404,0.007248
Stock16,1999,0.040134,0.004135
Stock16,2000,0.091378,0.088647
Stock16,2001,0.049931,0.012921
Stock16,2002,0.011739,0.002173
Stock16,2003,0.004548,0.009811
Stock16,2004,0.048974,0.009606
Stock16,2005,0.014909,0.01515
Stock16,2006,0.038493,0.002858
Stock16,2007,0.10781,0.002555
Stock16,2008,0.077232,0.014838
Stock16,2009,0.119555,0.009878
Stock16,2010,0.042831,0.015766
Stock16,2011,NA,0.05586
Stock16,2012,NA,0.028484
Stock16,2013,NA,0.054939
Stock16,2014,NA,0.01575
Stock16,2015,NA,0.01820005
Stock17,1973,0.073208,0.019425
Stock17,1974,0.020017,0.00373
Stock17,1975,0.158536,0.01579
Stock17,1976,0.007247,0.001723
Stock17,1977,0.131877,0.018311
Stock17,1978,0.031164,0.002584
Stock17,1979,0.101368,0.05749
Stock17,1980,0.021368,0.003222
Stock17,1981,0.076744,0.019733
Stock17,1982,0.006775,0.002349
Stock17,1983,0.149699,0.028213
Stock17,1984,0.024917,0.007876
Stock17,1985,0.046853,0.013825
Stock17,1986,0.020838,0.003549
Stock17,1987,0.19102,0.038515
Stock17,1988,0.057739,0.009311
Stock17,1989,0.018878,0.00494
Stock17,1990,0.015734,0.006033
Stock17,1991,0.056227,0.061074
Stock17,1992,0.104704,0.007728
Stock17,1993,0.056702,0.009595
Stock17,1994,0.018358,0.002008
Stock17,1995,0.065492,0.023998
Stock17,1996,0.546593,0.038654
Stock17,1997,0.003186,0.009499
Stock17,1998,0.00487,0.003705
Stock17,1999,0.011388,0.010338
Stock17,2000,0.259537,0.194381
Stock17,2001,0.096125,0.054824
Stock17,2002,0.00618,0.001925
Stock17,2003,0.003705,0.003163
Stock17,2004,0.219432,0.022603
Stock17,2005,0.01621,0.021834
Stock17,2006,0.064878,0.008655
Stock17,2007,0.011506,0.001741
Stock17,2008,0.091062,0.065754
Stock17,2009,0.021781,0.0114
Stock17,2010,0.202807,0.026142
Stock17,2011,NA,0.010056
Stock17,2012,NA,0.030942
Stock17,2013,NA,0.01322
Stock17,2014,NA,0.061389
Stock17,2015,NA,0.034418
Stock18,1948,0.12272,0.05538
Stock18,1949,0.019336,0.00929
Stock18,1950,0.146275,0.040061
Stock18,1951,0.120302,0.037837
Stock18,1952,0.071842,0.048899
Stock18,1953,0.02506,0.018673
Stock18,1954,0.051052,0.017624
Stock18,1955,0.16401,0.01795
Stock18,1956,0.066855,0.032094
Stock18,1957,0.028018,0.012335
Stock18,1958,0.016135,0.010381
Stock18,1959,0.061732,0.015731
Stock18,1960,0.033248,0.026261
Stock18,1961,0.100761,0.013088
Stock18,1962,0.056764,0.017285
Stock18,1963,0.142668,0.014357
Stock18,1964,0.1906,0.015352
Stock18,1965,0.038984,0.008141
Stock18,1966,0.075904,0.022553
Stock18,1967,0.066869,0.012136
Stock18,1968,0.105494,0.018471
Stock18,1969,0.061083,0.027015
Stock18,1970,0.054555,0.007466
Stock18,1971,0.215185,0.016411
Stock18,1972,0.122884,0.01478
Stock18,1973,0.029165,0.012637
Stock18,1974,0.131749,0.021979
Stock18,1975,0.084758,0.042107
Stock18,1976,0.105297,0.038198
Stock18,1977,0.034007,0.01607
Stock18,1978,0.034749,0.02943
Stock18,1979,0.038214,0.04042
Stock18,1980,0.016905,0.020253
Stock18,1981,0.034057,0.028096
Stock18,1982,0.018228,0.010096
Stock18,1983,0.062031,0.019991
Stock18,1984,0.075589,0.018468
Stock18,1985,0.023182,0.004371
Stock18,1986,0.039998,0.030891
Stock18,1987,0.021965,0.015357
Stock18,1988,0.061077,0.042093
Stock18,1989,0.016602,0.027592
Stock18,1990,0.009099,0.014382
Stock18,1991,0.033887,0.0225
Stock18,1992,0.100553,0.012343
Stock18,1993,0.102738,0.026984
Stock18,1994,0.034633,0.010826
Stock18,1995,0.052971,0.007201
Stock18,1996,0.150943,0.058791
Stock18,1997,0.096251,0.044253
Stock18,1998,0.131943,0.085993
Stock18,1999,0.142614,0.03752
Stock18,2000,0.111273,0.04664
Stock18,2001,0.05461,0.13929
Stock18,2002,0.069145,0.092085
Stock18,2003,0.013786,0.078987
Stock18,2004,0.039914,0.062351
Stock18,2005,0.008335,0.064236
Stock18,2006,0.067017,0.039942
Stock18,2007,0.081201,0.042984
Stock18,2008,0.079951,0.018368
Stock18,2009,0.049133,0.032304
Stock18,2010,0.039462,0.018256
Stock18,2011,0.022565,0.057286
Stock18,2012,NA,0.079592
Stock18,2013,NA,0.060346
Stock18,2014,NA,0.037665
Stock18,2015,NA,0.039858
Stock19,1948,0.043283,0.026162
Stock19,1949,0.037073,0.008
Stock19,1950,0.078099,0.033044
Stock19,1951,0.121119,0.017145
Stock19,1952,0.023054,0.025794
Stock19,1953,0.009784,0.02103
Stock19,1954,0.014797,0.0288
Stock19,1955,0.140951,0.005595
Stock19,1956,0.096858,0.002586
Stock19,1957,0.06011,0.003793
Stock19,1958,0.059785,0.014701
Stock19,1959,0.041531,0.027868
Stock19,1960,0.029451,0.01721
Stock19,1961,0.013184,0.042773
Stock19,1962,0.050812,0.008162
Stock19,1963,0.087825,0.022258
Stock19,1964,0.05113,0.002202
Stock19,1965,0.02028,0.015034
Stock19,1966,0.055425,0.032646
Stock19,1967,0.05079,0.020548
Stock19,1968,0.017685,0.005379
Stock19,1969,0.007302,0.014959
Stock19,1970,0.039665,0.012666
Stock19,1971,0.084459,0.00379
Stock19,1972,0.001963,0.001346
Stock19,1973,0.037681,0.00306
Stock19,1974,0.040338,0.01692
Stock19,1975,0.12862,0.005987
Stock19,1976,0.044594,0.00513
Stock19,1977,0.024058,0.002246
Stock19,1978,0.041193,0.019717
Stock19,1979,0.010895,0.045615
Stock19,1980,0.014393,0.005092
Stock19,1981,0.017869,0.003193
Stock19,1982,0.028956,0.009189
Stock19,1983,0.01785,0.004239
Stock19,1984,0.005127,0.001267
Stock19,1985,0.014407,0.005097
Stock19,1986,0.009607,0.007265
Stock19,1987,0.045048,0.005228
Stock19,1988,0.003791,0.001544
Stock19,1989,0.013423,0.002934
Stock19,1990,0.125888,0.004515
Stock19,1991,0.038111,0.015
Stock19,1992,0.003736,0.000313
Stock19,1993,0.019096,0.003258
Stock19,1994,0.020682,0.009515
Stock19,1995,0.049813,0.016618
Stock19,1996,0.00756,0.015379
Stock19,1997,0.08224,0.001418
Stock19,1998,0.06421,0.004496
Stock19,1999,0.091329,0.008577
Stock19,2000,0.011823,0.004343
Stock19,2001,0.386967,0.015309
Stock19,2002,0.276642,0.041542
Stock19,2003,0.103286,0.008259
Stock19,2004,0.142216,0.002106
Stock19,2005,0.015903,0.388605
Stock19,2006,1.388415,0.168259
Stock19,2007,1.636783,0.128295
Stock19,2008,0.176737,0.006717
Stock19,2009,0.17475,0.30721
Stock19,2010,1.493002,0.761668
Stock19,2011,NA,0.805596
Stock19,2012,NA,0.070904
Stock19,2013,NA,0.250087
Stock19,2014,NA,0.399531
Stock19,2015,NA,0.115684
